years,Rate,df
0.5,0.0025,0.9987515605493134
1.0,0.003,0.9970089730807578
1.5,0.003125,0.9952698594970135
2.0,0.00325,0.9935307459132694
2.5,0.0033,0.991772943565779
3.0,0.00335,0.9900151412182887
3.5,0.003425,0.9880658954667711
4.0,0.0035,0.9861166497152535
4.5,0.00355,0.9841503847242373
5.0,0.0036,0.9821841197332212
5.5,0.0037,0.979739533448497
6.0,0.0038,0.9772949471637729
6.5,0.0039,0.9748503608790486
7.0,0.004,0.9724057745943244
7.5,0.004083333333333333,0.9696676252496378
8.0,0.004166666666666667,0.9669294759049512
8.5,0.00425,0.9641913265602646
9.0,0.004333333333333333,0.961453177215578
9.5,0.004416666666666666,0.9587150278708914
10.0,0.0045,0.9559768785262047
10.5,0.004549999999999999,0.9531403386341173
11.0,0.0046,0.9503037987420297
11.5,0.00465,0.9474672588499422
12.0,0.0047,0.9446307189578548
12.5,0.00475,0.9417941790657673
13.0,0.0048,0.9389576391736798
13.5,0.00485,0.9361210992815923
14.0,0.0049,0.9332845593895048
14.5,0.00495,0.9304480194974174
15.0,0.005,0.9276114796053299
15.5,0.005025,0.9248579253489309
16.0,0.00505,0.9221043710925317
16.5,0.0050750000000000005,0.9193508168361327
17.0,0.0051,0.9165972625797336
17.5,0.005125,0.9138437083233346
18.0,0.00515,0.9110901540669356
18.5,0.005175,0.9083365998105365
19.0,0.005200000000000001,0.9055830455541375
19.5,0.0052250000000000005,0.9028294912977384
20.0,0.00525,0.9000759370413394
20.5,0.005262500000000001,0.8974424759760838
21.0,0.005275,0.8948090149108282
21.5,0.0052875000000000005,0.8921755538455727
22.0,0.0053,0.8895420927803172
22.5,0.0053125,0.8869086317150616
23.0,0.005325,0.884275170649806
23.5,0.0053375,0.8816417095845505
24.0,0.00535,0.8790082485192949
24.5,0.0053625,0.8763747874540393
25.0,0.005375,0.8737413263887838
25.5,0.0053875,0.8711078653235282
26.0,0.0054,0.8684744042582726
26.5,0.0054125,0.8658409431930171
27.0,0.005425,0.8632074821277615
27.5,0.0054375,0.8605740210625059
28.0,0.00545,0.8579405599972504
28.5,0.0054624999999999995,0.8553070989319949
29.0,0.005475,0.8526736378667393
29.5,0.005487499999999999,0.8500401768014837
30.0,0.0055,0.8474067157362282
